ActionName,Target,Parameter
SpriteChange,0,심해`0`0`4
 ,이것은 프로토타입용 VN입니다,
 ,나레이션 view,
 ,이 이야기는 호기심 많은 바닷속 공주님의 이야기,
 ,이 바다 깊은 곳에는 무용의 명성이 높은 인어왕이 다스리는 왕국이 있었습니다.,
 ,인어왕에게는 6명의 손녀공주가 있었는데,
, 그 딸들은 모두 눈부시게 아름다웠지만,
SpriteChange,3,노아일상표정2`0`-7.8`2
 ,"그중 특히 바다보다도 깊은 눈동자를 가진 아름다운 막내공주, 노아에 대한 칭송이 자자했습니다.",
SmoothSpriteChange,3,노아부끄
노아,(그렇게 지그시 보면 부끄러운데...),
SmoothSpriteChange,3,노아으앙
노아,(그리고 그 정도는 아니야!),
SmoothSpriteChange,3,
Transition,,circle
SpriteChange,0,섬1`0`0`2
 ,노아는 아직 여물지 않은 꽃을 하나 가지고 있었는데 이는 그닥 볼품없는 꽃이었지만 바닷속 세계만을 알고있던 노아에게는 대단히 소중한 것이었습니다.,
SpriteChange,3,노아일상표정2`-3`-6`1.5
LetterBox,1`2,On
노아,하지만... 요즘 꽃에 대해서 조금 고민이지,
SmoothSpriteChange,3,노아쓴웃음
노아,저기 앞에 보이는 큰 고래가 움직이면 큰 파도가 생기는데 그것에 꽃이 쓸려나날 것만 같아,
SmoothSpriteChange,3,노아도야2
노아,그래 큰 파도를 막아낼 구조물을 쌓자!,
SmoothSpriteChange,3,노아도야
노아,그러면 우선 구조물을 어떻게 쌓는지를 배워야겠지. 도서관으로 돌아가서 지식을 얻는거야,
LetterBox,1`2,Off
Transition,,fade
SpriteChange,0,null`0`0`5
SpriteChange,3,null`0`0`1.5
AddShopItem,,Wood
노아,오늘은 무엇을 공부해볼까?,
AddTextbook,,건축재료 시멘트 제작법`시멘트1
ReadTextbook,,
SetNextDialogue,,1n1n1
ConnectSubDialogue,,
