ActionName,Target,Parameter
SpriteChange,0,심해`0`0`3
SpriteChange,3,노아의기소침`3`-6`1.5
[노아],"『벌써 나를 찾기 시작했구나.\n조금 빠른걸?\n방에 두고 온 내 인형이 시간을 벌어줄거라고 생각했는데 말야』",노아의기소침
SmoothSpriteChange,3,노아뱅글
Sound,발자국소리,1
[노아],"『가까이 왔잖아?! 빨리 숨어야해...!』",노아뱅글
SmoothSpriteChange,3,null
[신하A],"『이봐, 공주님을 찾을 수 있었나??』",
SpriteChange,3,노아일상표정2`-6`-5`0.8
[신하B],"『아니. 어디에도 없으셨어.\n분명 멀리가지는 못했을텐데, 말미잘처럼 다가갈 수 없는 곳에 몸을 감추거나 하신걸까?』",
[신하A],"『어떤 실마리도 없었어? 공주님이 사라졌다는걸 알린건 너였잖아. 어떻게 알게된거야?』",
[신하B],"『공주님의 방에 가봤는데 공주님은 어디에도 없고 이상한 해초덩어리만 그곳에 있었거든』",
SmoothSpriteChange,3,노아바보
[신하B],"『아마도 그걸 드시다가 밖으로 나갔을거야』",
[신하A],"『해초를 먹는다고?! 어째서?』",
[신하B],"『우리야 알 수 있을 턱이 있나. 우리 공주님은 조금 별났으니깐.\n궁금하다면 우선 공주님을 찾아 물어보는걸로 하세』",
[신하A],『...그러지』,
Sound,발자국소리,1
[노아],『...』,
SpriteChange,3,노아의기소침`0`-6`1.5
[노아],『...』,노아의기소침
[노아],『이상한 해초덩어리... 그거 내가 고생고생해서 만든 나랑 똑같이 생긴 인형인데...』,노아의기소침
SmoothSpriteChange,3,노아분노
[노아],『이래선 해초를 하나하나 입으로 물어 옮기며 고생한 내 6시간이 바보같잖아!!』,노아분노
SmoothSpriteChange,3,노아으앙2
[노아],『그리고 누가 해초같은 걸 먹는다는거야?!\n아무리 그래도 안그러거든?!』,노아으앙2
 ,물론 입으로 물면서 몇번 씹어보기는 했지만...\n그건 어떤 바다거북이 맛있게 먹고있는 걸 보고 맛이 궁금해졌기 때문이지 내가 별났거나 한게 아니다,
SmoothSpriteChange,3,노아의기소침
 ,미끌거리고 쓴 맛이었는데 다이어트에 좋을 수도 있을거라고 생각했다\n누구든 궁금한건 어쩔 수 없는거잖아,
[노아],"『...아니 지금은 이럴때가 아니야...\n그래, 내가 왕궁에서 튀쳐나온 이유가 있잖아』",노아의기소침
SmoothSpriteChange,3,노아도야
[노아],"『나는 지상으로 올라갈거야』",노아도야
SmoothSpriteChange,3,노아도야2
[노아],"『그리고 나서, 찾을거야... 계속 꿈꿔왔던 '그것'을 말이야...\n'그것'은 바로...』",노아도야2
SpriteChange,6,몰가일상표정`6`-6`1
[모르가나],"『하나밖에 없는,\n세상의 모든 것을 가지게 된다는 대비보를 말인가요?』",몰가일상표정
SmoothSpriteChange,3,노아도야2
[노아],"『그래! 이 바다에서 최고의 보물 '원피스'를...』",노아도야2
SmoothSpriteChange,3,노아바보
[노아],『...?』,노아바보
SmoothSpriteChange,3,노아뱅글
SpriteChange,3,노아뱅글`-4`-4`1.3
SpriteChange,6,몰가일상표정`4`-4`1.3
[노아],"『깜짝이야! 모르가나, 여긴 대체 어떻게 온거야? 도서관은 어쩌고?!』",노아뱅글
SmoothSpriteChange,6,몰가으으
[모르가나],"『도서관은, 잠시 잠겼어요.\n어느 공주님이 숨어들기에 딱 적절한 곳이라...』",몰가으으
SmoothSpriteChange,6,몰가일상표정
[모르가나],"『그건 둘째치고,\n조금 전에, 지상으로 나간다고 하지 않았나요?\n노아는, 나가는 거에요?』",몰가일상표정
SmoothSpriteChange,3,노아일상표정2
[노아],"『그래, 모르가나. 나는 지상으로 나가려고 하는거야.』",노아일상표정2
[노아],"『'로빈스 크루소'를 알고 있니?』",노아일상표정2
[모르가나],"『...무인도에서의 생존기를 말하는 거죠?\n...네, 일단은.』",몰가일상표정
LetterBox,4`5,On
SpriteChange,6,노아의기소침`-1`-6`1.5
SpriteChange,3,몰가일상표정`3`-6`1
[노아],"『그는 어느날 배가 침몰하고 눈을 떠보니, 자연 그대로의 무인도에서 깨어났었지』",노아의기소침
SmoothSpriteChange,6,노아쓴웃음
[노아],"『모든 것이 바다에 뒤덮여 있었고, 스스로의 생존을 보장할 수 없었을거야』",노아쓴웃음
SmoothSpriteChange,6,노아의기소침
[노아],"『그는 그곳에서 삶을 포기하는 것\n대신 대자연에 맞서서 살아남기로 한거야』",노아의기소침
SmoothSpriteChange,3,몰가지토
[모르가나],『...』,몰가지토
SmoothSpriteChange,6,노아도야2
[노아],"『그래! 대자연과의 투쟁!\n옛 속담처럼, '무거운 바닷소리가 살아있음을 느끼게 하는 장소!'』",노아도야2
SmoothSpriteChange,6,노아반짝
[노아],"『그리고 누구든 바다에 둘러쌓이기 위해서는 바다에서 나가지 않으면 안돼.\n그렇지?!!』",노아반짝
[노아],"『난 지상으로 나가, 아무것도 아닌 섬 위에,\n나의 성을 쌓을거야! 대자연과의 투쟁을 위한 성을 말이야!』",노아반짝
LetterBox,4`5,Off
SpriteChange,3,노아반짝`-4`-4`1.3
SpriteChange,6,몰가뱅글`4`-4`1.3
[모르가나],『노아 바보에요?!\n대체 뭐가 '나의 성'이고 '살아있음'이며 '대자연'이라는 거에요?!』,몰가뱅글
[모르가나],『그런 자아에 대한 방랑은 치어때나 해주시죠?!』,몰가뱅글
SmoothSpriteChange,6,몰가분노
[모르가나],『노아처럼 다 큰 성어가 위험한 꿈을 꾸면 안되는거에요!』,몰가분노
SmoothSpriteChange,6,몰가뱅글
[모르가나],『거기에 노아는 공주님! 상식적으로! 위치를 생각해!』,몰가뱅글
SmoothSpriteChange,3,노아윙크
[노아],"『...상식이라는 것은 상식성단의 상식별에 사는 상식인들』",노아윙크
[노아],"『쉽게 말하자면 스스로 '상식인'이라며 자랑스럽게 부르는 사람들 사이에서나 통하는 슬랭(속어)에 불과한거란다』",노아윙크
SmoothSpriteChange,6,몰가지토
[모르가나],『...』,몰가지토
[모르가나],『...상식은 통용되기 때문에 상식인건데요』,몰가지토
SmoothSpriteChange,3,노아일상표정2
[노아],"『내 말은 그것을 위한 충분한 뒷받침이 있지 않다는 이야기야』",노아일상표정2
SmoothSpriteChange,3,노아윙크
[노아],"『'통용'이라니. 그게 아니라는 증거가 네 앞에 있는거잖아?』",노아윙크
SmoothSpriteChange,6,몰가경멸2
[모르가나],『...』,몰가경멸2
SmoothSpriteChange,3,노아바보
[노아],『...』,노아바보
Transition,,fade
SmoothSpriteChange,6,몰가일상표정
SmoothSpriteChange,3,노아으앙2
[노아],『아무튼! 나는 꼭 갈거야! 지상이 어떤 곳인지 궁금하기도 하고!』,노아으앙2
[노아],『지상에서 배우는건 분명히 도움이 될거야! 그 빛의 고향에 비하면 바닷속은 따분한거야. 따분할 뿐인거야』,노아으앙2
[모르가나],『...빛의 고향?』,몰가일상표정
SmoothSpriteChange,3,노아일상표정1
[노아],"『어떤 책에서 나온 내용인데, 바닷속 모든 빛들은 지상에서 내려온 것이라고 해. 그러니깐 빛의 고향』",노아일상표정1
[모르가나],『아하...』,몰가일상표정
SmoothSpriteChange,6,몰가서글픔
[모르가나],『...』,몰가서글픔
SmoothSpriteChange,6,몰가일상표정
[모르가나],『아침에는 돌아오세요. '로빈슨 크루소처럼'이라고 해서 그곳에서 노숙하는건 안돼요. 위험하니깐요』,몰가일상표정
SmoothSpriteChange,3,노아반짝
[노아],『허락해주는거야?!』,노아반짝
SmoothSpriteChange,6,몰가일상표정
[모르가나],『제가 할 수 있는건 그저 말씀드리는 것뿐이지만요.\n지상에 대한 공부라고 말하면 납득하시겠죠』,몰가일상표정
SmoothSpriteChange,6,몰가으으2
[노아],『고마워! 사랑해!』,노아미소
SmoothSpriteChange,3,노아미소
[노아],『모르가나도 지상에 같이 가자! 분명 재미있을거야!』,노아미소
SmoothSpriteChange,6,몰가일상표정
[모르가나],"『아뇨... 저는 심해생물이니깐, 지상에는 갈 수 없어요. 특히 아침에는 더더욱』",몰가일상표정
SmoothSpriteChange,3,노아의기소침
[노아],『그렇구나... 아쉽네...』,노아의기소침
SmoothSpriteChange,6,몰가미소
[모르가나],"『자, 그러면, 빨리 다녀오세요. 많은 것을 배우고 오는거에요』",몰가미소
SmoothSpriteChange,3,노아윙크
[노아],『그럼 잘 다녀올게! 말 잘 건네줘~~~』,노아윙크
SmoothSpriteChange,3,null
[모르가나],"『...』",몰가미소
SpriteChange,6,몰가서글픔`0`-6`1.5
[모르가나],"『...』",몰가서글픔
[모르가나],"『하지만 노아, 만약 무언가를 배운다는 것이 꼭 지상으로 나가야하다는 말은 아니에요. 알고 있는건가요?』",몰가서글픔
[모르가나],"『...그리고 바닷속이 따분하다는 말을 들으면, 누구도 어쩔 수 없잖아요. 치사한 노아』",몰가서글픔
SmoothSpriteChange,6,null
SetNextDialogue,,1n1n2
Transition,,fade
ConnectSubDialogue,,
