ActionName,Target,Parameter
노아,"""그래 바다경제에 대해서 한번 공부해보자""",Noah2
노아,"""라고할까... 사실 이것밖에 없지""",Noah2
Thinking,0`1,
 ,수 백년 전부터 바다에선 희소한 조개들을 화폐로 사용했다.,
 ,"조개의 종류, 크기 등 다양한 부분에서 가치가 정해지지만, 그중에서 높은 가치를 지니는 조개들이 있다.",
 ,"평범한 조개들은 가치를 가지지 못하며, 구리 조개부터 화폐로 인정된다.",
 ,<color=yellow>금 조개</color>는 구리 조개 3개의 가치를 가지며 가장 희귀한 <color=red>루비 조개</color>는 구리 조개 5개의 가치로 인정한다.,
 ,"아무리 조개여도 많아지면 들고다니기 곤란하므로, 저금할 수 있는 저금통을 마련하는걸 추천한다.",
Thinking,0`1,
노아,"""먼 과거부터 우리들은 조개를 화폐로 사용했었구나. 하긴 예쁜 조개는 희귀하니까 그럴만도 하지.""",Noah2
SetSubDialogue,,돼지저금통2
Transition,,fade
ConnectNextDialogue,,
